Int;Int_int
ADLid;Str_rulnm
Conid;Str_con
Expression;Str_expr
String;Str_str
Varid;Str_relnm
FileName;Str_file
FilePath;Str_path
Atom;Blob_atom
Blob;Blob_blob
ErrorMessage;Blob_error
PragmaSentence;Blob_sentence
Property;Enum_prop
Role;Enum_role
AtomID;ID_atom
Concept;ID_cpt
Context;ID_ctx
Declaration;ID_decl
ExpressionID;ID_expr
Gen;ID_gen
Order;ID_order
PairID;ID_pair
Pattern;ID_pat
PropertyRule;ID_rul_prop
Relation;ID_rel
Rule;ID_rul
Sign;ID_sign
AdlVersion;ID_adlversion
AdlFile;ID_file_adl
File;ID_file
ParseError;ID_perr
TypeError;ID_terr
CalendarTime;ID_datetime
User;ID_user
G;ID_g
NewAdlFile;ID_file_adl_new
SavePopFile;ID_file_pop_save
SaveAdlFile;ID_file_adl_save
MetaInformation;ID_info
Image;ID_img
URL;ID_url
Violation;ID_pair_viol
